text,sentiment
This product is amazing! Best purchase ever!,1
Excellent quality and fast shipping. Very happy!,1
Love it! Works perfectly and looks great.,1
Exceeded my expectations. Highly recommend!,1
Five stars! Fantastic product and great price.,1
So glad I bought this. Life changing!,1
Perfect! Exactly what I needed. Thank you!,1
Outstanding quality. Will buy again for sure.,1
Best product in its category. Worth every penny!,1
Incredible! My whole family loves it.,1
Terrible product. Complete waste of money.,0
Broke after one day. Very disappointed.,0
Horrible quality. Returning immediately.,0
Does not work as advertised. Avoid!,0
Worst purchase ever. Total garbage.,0
Cheap and poorly made. Not worth it.,0
Completely useless. I want my money back.,0
Awful experience. Customer service was rude too.,0
Defective product. Very frustrating!,0
Don't buy this. You'll regret it.,0
It's okay. Not great but not terrible either.,1
Product works but shipping took forever.,0
Good product but overpriced for what you get.,1
Has potential but needs improvement.,0
